id	nazev	zkr
1	Křesťanská a demokratická unie - Československá strana lidová	KDU-ČSL
2	Česká strana národně sociální	ČSNS
5	Strana zelených	SZ
7	Česká strana sociálně demokratická	ČSSD
9	Nezávislá iniciativa (NEI)	NEI
11	Sdružení pro republiku-Republikánská strana Československa	SPR-RSČ
12	Romská občanská iniciativa ČR	ROI ČR
13	Občanská demokratická aliance	ODA
14	Republikánská unie	RU
20	Strana za životní jistoty	SŽJ
21	Republikánská strana zemědělského a malorolnického lidu	RSZML
22	Agrární strana	AS
24	Konzervativní strana	KONS
25	Celostátní aktiv občanů	CAO
28	Demokratická strana Československa	DSČ
29	Strana svobodných demokratů	SSD
32	Českomoravská unie středu	ČMUS
34	Strana moravského venkova	SMV
39	Levá alternativa - hnutí za demokratický a samosprávný socialismus	LA
40	Klub angažovaných nestraníků	KAN
41	Asociace Radikálů za Spojené státy evropské	AR
42	Panevropská unie Čech a Moravy	PEUČM
43	Pravá alternativa	PA
44	Národně sociální strana - Československá strana národně socialistická	NSS-ČSNS
45	Strana drobných podnikatelů	SDP
46	Moravská národní strana	MNS
47	Komunistická strana Čech a Moravy	KSČM
48	Hnutí 90	H 90
49	Hnutí angažovaných Romů	HAR
51	Národně demokratická strana	NDS
53	Občanská demokratická strana	ODS
55	Koruna Česká (monarchistická strana Čech, Moravy a Slezska)	KČ
58	Česká národní strana	ČNS
59	Strana zdravotně postižených, důchodců a sociálně slabých občanů	SZP-DO
60	Hnutí za sociální spravedlnost	HSS
63	Republikáni	REP
64	Strana podnikatelů, živnostníků a rolníků České republiky	SPŽR
65	Demokraté 92	D 92
67	Romský národní kongres	RNK
68	Masarykova demokratická strana	MDS
72	COEXISTENTIA	COEX
74	Strana demokratického socialismu	SDS
76	Československá strana socialistická	ČSS
77	Česká pravice	ČP
78	Východoevropské národnostní politické hnutí v ČR	VENPH
79	NE Bruselu - Národní demokracie	ND
80	Nezávislí kandidáti	NK
81	Demokratická unie	DEU
82	Moravská demokratická strana	MoDS
83	Moravané	Moravané
84	Hnutí za samosprávnou demokracii - Společnost pro Moravu a Slezsko	HSD-SMS
85	Pražané Praze	PP
86	Iniciativa občanů	IO
88	NEZÁVISLÍ	NEZ
90	Sdružení nezávislých kandidátů - místní sdružení celkem	SNK-CELK
91	Sdružení nezávislých kandidátů města České Budějovice	SNK ČB
92	Živnostenská strana	ŽS
93	Komunistická strana Československa	KSČ
94	Česká volba	ČV
95	Mladí demokraté	MD
96	Hnutí proti kriminalitě	HPK
98	Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET	PB
99	Bez politické příslušnosti	BEZPP
100	Humanistická strana	HS
101	Strana venkova - spojené občanské síly	SV SOS
102	Unie svobody - Demokratická unie	US-DEU
103	Strana pro otevřenou společnost	SOS
104	Občanská koalice - Politický klub	OK
105	Strana konzervativní smlouvy	SKS
106	Alternativa 2000	A2000
107	Demokratická liga	DL
108	Hnutí za prosperitu Brna	HPB
109	Zlínské hnutí nezávislých	ZHN
110	Demokratická regionální strana	DRS
111	Pravá volba pro Plzeň	PVP
112	HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST	HNHRM
113	Volba pro město	VPM
114	Hnutí pro Havířov	HPH
115	Nezávislé sdružení občanů Blanska	NSOB
116	Občanská liga FORUM	OLF
117	"""1.Sdružení nezávislých kandidátů Tábor"""	1.SNK
118	Sdružení pro sport a zdraví	SSZ
119	Unie pro sport a zdraví	USZ
120	Aliance nezávislých občanů	ANO
121	NÁRODNÍ PROSPERITA	NP
122	Českobudějovická nezávislá nová volba	ČbNNV
123	České hnutí za národní jednotu	ČHNJ
124	Nové hnutí	NH
125	Unie pro Evropu	UPE
126	Nestraníci pro Moravu	NPM
127	Republikáni Miroslava Sládka	RMS
128	"""Akce za skutečnou demokracii"""	AZSD
129	SNK Evropští demokraté	SNK ED
130	Strana svobodných severu	SSS
131	Strana občanského porozumění	SOP
132	Aktiv nezávislých občanů	ANEO
133	Cesta změny	CZ
134	"""Sebeobrana voličů-Váš hlas nepodpoří financování planých řečí, ale zdravotnictví Vašeho obvodu"""	SeVo
135	Naděje	N
136	Tábor 2020	T2020
137	Strana zdravého rozumu	Rozumní
138	Liberálové.CZ	LIB
139	Volba pro budoucnost	VPB
140	Balbínova poetická strana	BPS
141	Konzervativní a sociální hnutí	KSH
142	Strana Zdraví Sportu Prosperity	SZSP
143	Spojení demokraté - Sdružení nezávislých	SD-SN
144	Věci veřejné	VV
145	"""Jirkov 21.století"""	J 21 S
146	Nezávislí pro Prahu	NPP
147	MĚSTO LIDEM	ML
148	"""SONOB - sdružení ochrany nájemníků a ostatního bydlení"""	SONOB
149	Sociálně demokratická aliance nezávislých	SDAN
150	Sdružení za lepší Vrchlabí	SZLV
151	Helax-Ostrava se baví	HOB
152	Národní strana	NS
153	Dělnická strana	DS
154	Všeobecná občanská strana	VOS
155	DOMOV	DOMOV
156	Dělnická strana sociální spravedlnosti	DSSS
157	Demokratická Unie České republiky	DEUČR
158	"""Sdružení nestraníků"""	SN
159	Strana práce	SP
160	"""Viktor Kožený - Občanská federální demokracie"""	"""OFD"""
161	Svobodná občanská samospráva	SvOS
162	Správný směr	SPS
163	NEZÁVISLÁ VOLBA	NV
164	Evropská strana důstojného stáří	ESDS
165	Strana drobných živnostníků a podnikatelů	SDŽP
166	STAROSTOVÉ A NEZÁVISLÍ	STAN
167	Fair play - HNPD	HNPD
168	Občanské demokratické hnutí	ODH
169	Folklor i Společnost	FiS
170	Romská demokratická sociální strana	RDSS
171	STRANA ROVNOST ŠANCÍ	SRŠ
172	NEZÁVISLÍ DEMOKRATÉ	NEZ/DEM
173	Chci svou šanci	CISN
174	Hnutí pro Těšín	HpT
175	Česká strana národně socialistická	ČSNS2005
176	Strana občanské sebeobrany	SOSPRAHA
177	Zelení	"""Z"""
178	4 VIZE - www.4vize.cz	4 VIZE
179	Sedma - strana pro Slatiňany, Škrovád, Trpišov, Kunčí, Presy, Podhůru a Kochánovice	Sedma
180	Klub sociálně demokratické orientace	KSDO
181	Nestraníci	Nestran.
182	Karlovarská občanská alternativa	KOA
183	Alternativa pro občany	AO
184	Hnutí LEPŠÍ ŘEPY	HLŘ
185	Patrioti - hnutí za lepší Ústí n.L.	P-HLÚ
186	Hnutí za lepší bydlení	HZLB
187	Občansko demokratické sdružení Zlín	ODSZ
188	SEMILÁCI	PSS
189	Zlínské sdružení živnostníků a podnikatelů	ZSŽP
190	Mimoňská obroda	OHMO
191	MĚSTO I MLÁDEŽI	MIM
192	HLAVU VZHŮRU - volební blok	HLVZHŮRU
193	Volba pro Mladou Boleslav	VpMB
194	ZVON	PHZ
195	Hnutí pro Prahu 11	HPP 11
196	Strana Svobody	Str.Svob
197	NESPOKOJENÍ OBČANÉ!	NO!
198	Republikánská strana Čech, Moravy a Slezska	RSČMS
199	Klíčové hnutí	KH
200	Demokracie	DK
201	Koalice KDU-ČSL, ČSNS	
202	Koalice KDU-ČSL, ČSNS, US	
203	Koalice KDU-ČSL, SZ, DEU	
204	Koalice KDU-ČSL, SZ, NEZ	
205	Koalice KDU-ČSL, ODA	
206	Koalice KDU-ČSL, ODA, ODS, US	
207	Koalice KDU-ČSL, ODA, DEU	
208	Čtyřkoalice	4KOALICE
